,longitude,latitude,area
662,168.1,-47.2,84317359.35843906
663,168.1,-47.1,84473897.16604605
664,168.1,-47.0,84630169.81673707
665,168.1,-46.9,84786176.8683919
666,168.1,-46.8,84941917.87992105
667,168.1,-46.7,85097392.41121735
668,168.1,-46.6,85252600.02297601
669,168.1,-46.5,85407540.27744192
670,168.1,-46.4,85562212.73736376
671,168.1,-46.3,85716616.96677594
672,168.1,-46.2,85870752.53074928
673,168.1,-46.1,86024618.99516723
674,168.1,-46.0,86178215.92713568
675,168.1,-45.9,86331542.89470027
676,168.1,-45.8,86484599.467117
677,168.1,-45.7,86637385.21437645
678,168.1,-45.6,86789899.70742244
679,168.1,-45.5,86942142.51872945
680,168.1,-45.4,87094113.22142269
681,168.1,-45.3,87245811.38953206
682,168.1,-45.2,87397236.59864154
683,168.1,-45.1,87548388.42470887
684,168.1,-45.0,87699266.44517218
685,168.1,-44.9,87849870.2382871
686,168.1,-44.8,88000199.38346267
687,168.1,-44.7,88150253.46118674
688,168.1,-44.6,88300032.05267195
689,168.1,-44.5,88449534.7403056
690,168.1,-44.4,88598761.10782965
691,168.1,-44.3,88747710.73939157
692,168.1,-44.2,88896383.220784
693,168.1,-44.1,89044778.13840248
694,168.1,-44.0,89192895.07985198
695,168.1,-43.9,89340733.63381423
696,168.1,-43.8,89488293.3896705
697,168.1,-43.7,89635573.93836509
698,168.1,-43.6,89782574.8715504
699,168.1,-43.5,89929295.78170034
700,168.2,-47.6,83688565.43806908
701,168.2,-47.5,83846159.43140087
702,168.2,-47.4,84003490.04639857
703,168.2,-47.3,84160556.83715577
704,168.2,-47.2,84317359.35846938
705,168.2,-47.1,84473897.1660325
706,168.2,-47.0,84630169.81674504
707,168.2,-46.9,84786176.86837897
708,168.2,-46.8,84941917.87989399
709,168.2,-46.7,85097392.41123639
710,168.2,-46.6,85252600.02299494
711,168.2,-46.5,85407540.27743478
712,168.2,-46.4,85562212.73735872
713,168.2,-46.3,85716616.96674915
714,168.2,-46.2,85870752.53075671
715,168.2,-46.1,86024618.99514869
716,168.2,-46.0,86178215.92715386
717,168.2,-45.9,86331542.8947244
718,168.2,-45.8,86484599.46713677
719,168.2,-45.7,86637385.21434198
720,168.2,-45.6,86789899.70743562
721,168.2,-45.5,86942142.51872355
722,168.2,-45.4,87094113.22139886
723,168.2,-45.3,87245811.38957308
724,168.2,-45.2,87397236.59861425
725,168.2,-45.1,87548388.4247198
726,168.2,-45.0,87699266.44522434
727,168.2,-44.9,87849870.23825905
728,168.2,-44.8,88000199.38345793
729,168.2,-44.7,88150253.46118812
730,168.2,-44.6,88300032.05266027
731,168.2,-44.5,88449534.74027221
732,168.2,-44.4,88598761.10788669
733,168.2,-44.3,88747710.73933472
734,168.2,-44.2,88896383.22082105
